Clades	Species richness	Holoploid genome size 1C (Mb)	Monoploid genome size 1Cx (Mb)	Average DNA amount per chromosome (Mb)	Minimum  holoploid genome size (Mb)	Maximum holoploid genome size (Mb)
Polypodiales	8714	11185	7695	211	2308	59164
Cyatheales	713	10257	8473	125	2465	24054
Salviniales	82	1405	1064	75	235	2572
Schizaeales	190	12594	9120	314	5555	22939
Hymenophyllales	434	19857	16661	559	10494	31408
Gleicheniales	172	3978	2522	59	1824	18934
Osmundales	18	15337	15337	697	13158	20547
Marattiales	111	9685	7262	183	4430	20548
Ophioglossales	112	23140	10299	220	7878	64108
Psilotales	17	87919	34752	668	60117	147291
Equisetales	15	22517	22516	208	11066	31833
