	Habitat
Amborella_trichopoda	0
Aristolochia_fimbriata	0
Cycas_panzhihuaensis	0
Adiantum_capillus-veneris	4
Selaginella_moellendorffii	4
Marchantia_polymorpha	4
Takakia_lepidozioides	4
Anthoceros_angustus	4
Zygnema_cf._cylindricum	2
Ancylonema_nordenskioldii	5
Mesotaenium_endlicherianum	5
Penium_margaritaceum	2
Spirogloea_muscicola	1
Chara_braunii	2
Klebsormidium_nitens	5
Chlorokybus_atmophyticus	5
Mesostigma_viride	2
Volvox_carteri	2
Chlamydomonas_reinhardtii	2
Dunaliella_salina	6
Chromochloris_zofingiensis	5
Coccomyxa_subellipsoidea	2
Botryococcus_braunii	2
Pedinomonas_minor	2
Micromonas_pusilla	3
Ostreococcus_lucimarinus	3
Prasinoderma_coloniale	3
Zygnema_circumcarinatum_SAG_698-1b	2
Zygnema_circumcarinatum_UTEX_1559	2
Zygnema_circumcarinatum_UTEX_1560	2
